Code,Facility Name,Province,County,Sub County,Ward
22201,The Avenue Medical and Diagnostic Centre (Nyeri),Nyeri,Nyeri,Mukurweini,Mukurwe-ini Central
18304,The Co-Operative University College of Kenya Dispensary,Nairobi,Nairobi,Langata,Karen
24242,The Dawameds Hospital Limited,Bungoma,Bungoma,Kanduyi,Township
24696,The Fork Hospital (k)Ltd,Machakos,Machakos,Athi River,Kinanie
22065,The Galilee Medical Center Milimani Kitale limited,Trans Nzoia,Trans Nzoia,Kiminini,Hospital
24402,The garden of siloam medical clinic,Kiambu,Kiambu,Kiambaa,Ndenderu
20295,The Great Lakes Medical Centre Luanda,Vihiga,Vihiga,Luanda,Mwibona
24825,The Gyno Solutions Center Limited,Kiambu,Kiambu,Kiambu Town,Township
24029,The Half London Medical Clinic,Mombasa,Mombasa,Likoni,Timbwani
19247,The Hanna Medicare Centre,Nandi,Nandi,Chesumei,Kosirai
24475,The HARC Medical Centre,Nyandarua,Nyandarua,Oljoroorok,Weru
18041,The Haven Medical Clinic,Kiambu,Kiambu,Ruiru,Biashara
23884,The Healing Place Medical Centre,Trans Nzoia,Trans Nzoia,Kiminini,Nabiswa
18415,The Hope Medical Centre-Awasi,Kisumu,Kisumu,Nyando,Awasi/Onjiko
21733,The Hope spring Medical Clinic,Machakos,Machakos,Athi River,Syokimau/Mulolongo
23226,The International Clinic,Kiambu,Kiambu,Thika Town,Township
19999,The Itotia Medical Clinic,Kiambu,Kiambu,Lari,Kijabe
24744,The Karen Hospital (Kiambu),Kiambu,Kiambu,Thika Town,Township
18327,The Karen Hospital (Meru),Meru,Meru,Imenti North,Municipality
13004,The Karen Hospital (Nairobi),Nairobi,Nairobi,Langata,Karen
25008,The Karen Hospital City Centre Clinic,Nairobi,Nairobi,Starehe,Nairobi Central
23568,The Karen Hospital Limited(Naivasha),Nakuru,Nakuru,Naivasha,Viwandani
24092,The Kitui Family Care Hospital,Kitui,Kitui,Kitui Central,Township
18461,The Kitui Marternity and Nursing Home,Kitui,Kitui,Kitui Central,Township
19192,The Laare Marternity and Nursing Home,Meru,Meru,Igembe North,Ntunene
24202,The Labib Hospital,Nairobi,Nairobi,Kamukunji,California
25374,The Makueni Doctors Plaza Ltd,Makueni,Makueni,Makueni,Wote
24503,The Marions Health Care,Nairobi,Nairobi,Embakasi South,Pipeline
19434,The Mater Embakasi Clinic,Nairobi,Nairobi,Embakasi South,Pipeline
19543,The mater Hospital,Nairobi,Nairobi,Westlands,Parklands/Highridge
17657,The Mater Hospital Buruburu,Nairobi,Nairobi,Makadara,Harambee
18476,The Mater Hospital Thika Satellite,Kiambu,Kiambu,Thika Town,Township
22938,The Mater Hospital-Satelite Clinic(TRM),Nairobi,Nairobi,Roysambu,Roysambu
13074,The Mater Misericordiae Hospital (Mukuru),Nairobi,Nairobi,Starehe,Nairobi South
25192,THE MAYIAN MATERNITY AND NURSING HOME SUSWA,Narok,Narok,Narok East,Suswa
12490,The Mediance Nursing Home,Machakos,Machakos,Yatta,Matuu
25203,The Medigold Hospital Donholm,Nairobi,Nairobi,Embakasi East,Upper Savannah
23517,The Mesu Centre,Nairobi,Nairobi,Westlands,Parklands/Highridge
23961,The Nairobi Family And Maternity Hospitial Gynocare Kisii,Kisii,Kisii,Kitutu Chache South,Kitutu Central
25582,The Nairobi Hospital (Capital Centre),Nairobi,Nairobi,Starehe,Nairobi South
25055,The Nairobi Hospital -Kiambu Outpatient Centre,Kiambu,Kiambu,Kiambu Town,Ndumberi
19101,The Nairobi Hospital Out-patient Centre Galeria,Nairobi,Nairobi,Langata,Mugumo-ini
24918,The Nairobi Hospital Rosslyn Riviera Out Patient Centre,Nairobi,Nairobi,Westlands,Karura
25162,The Nairobi Hospital Southfields Out Patient,Nairobi,Nairobi,Embakasi South,Imara Daima
23559,The Nairobi Hospital Warwick Outpatient Centre,Nairobi,Nairobi,Westlands,Parklands/Highridge
25574,"The Nairobi Hospital, Outpatient Centre Galleria",Nairobi,Nairobi,Langata,Karen
25571,The Nairobi West Hospital Utawala,Nairobi,Nairobi,Embakasi East,Utawala
24816,The Nairobi Women's Hospital (Meru),Meru,Meru,Imenti North,Municipality
25095,The Nakuru Specialist Hospital,Nakuru,Nakuru,Nakuru East,Nakuru East
22324,The Oak Healthcare,Kiambu,Kiambu,Thika Town,Kamenu
17966,The Omari Project VCT Centre,Kilifi,Kilifi,Malindi,Shella
24764,The Reminant Digital Clinic,Vihiga,Vihiga,Sabatia,Chavakali
23711,THE RHAMU HOSPITAL IMAGING AND DIAGNOSTIC CENTRE,Mandera,Mandera,Mandera North,Rhamu
25556,The Royal Zion Medical Centre,Kiambu,Kiambu,Ruiru,Biashara
21639,The Samari-Med Centre,Homa Bay,Homa Bay,Homa Bay Town,Homa Bay Central
24191,The Shepherd Medical Centre,Nyeri,Nyeri,Nyeri Central,Rware
25458,THE ST. MARY INTERGRATED MEDICAL CENTRE,Nairobi,Nairobi,Roysambu,Zimmerman
24658,The Wilkista Memorial Hospital,Kajiado,Kajiado,Kajiado East,Kaputiei North
23246,The Woodland Hospital,Mandera,Mandera,Mandera East,Township
21281,The Zambezi Hospital Limited,Nairobi,Nairobi,Langata,South C
16555,Theere Health Centre,Meru,Meru,Igembe North,Antubetwe Kiongo
15722,Thessalia Health Centre,Kericho,Kericho,Sigowet/Soin,Soin
24765,Thiba Dam Dispensary,Kirinyaga,Kirinyaga,Kirinyaga East,Kabare
24192,Thiba Dispensary,Embu,Embu,Mbeere South,Makima
11092,Thiba Health Centre,Kirinyaga,Kirinyaga,Kirinyaga North/Mwea West,Thiba
11093,Thigio Dispensary (Kiambu West),Kiambu,Kiambu,Limuru,Ndeiya
15723,Thigio Dispensary (Laikipia West),Laikipia,Laikipia,Laikipia West,Marmanet
18578,Thigirichi Mukui Dispensary,Kirinyaga,Kirinyaga,Kirinyaga West,Kariti
23232,Thika Annanas Medicross Clinic,Kiambu,Kiambu,Thika Town,Kamenu
10138,Thika Arcade Health Services,Kiambu,Kiambu,Thika Town,Township
24245,Thika Dental Centre,Kiambu,Kiambu,Thika Town,Township
24244,Thika Eye Clinic,Kiambu,Kiambu,Thika Town,Township
22199,Thika Heart Centre,Kiambu,Kiambu,Thika Town,Township
16754,Thika High School for the Blind,Kiambu,Kiambu,Thika Town,Township
21781,Thika High School Health Centre,Kiambu,Kiambu,Thika Town,Township
11094,Thika Level 5 Hospital,Kiambu,Kiambu,Thika Town,Township
11096,Thika Medical Clinic ENT,Kiambu,Kiambu,Thika Town,Township
11097,Thika Nursing Home,Kiambu,Kiambu,Thika Town,Township
24150,Thika Nursing Hospital,Kiambu,Kiambu,Thika Town,Kamenu
16755,Thika Primary School for the Blind Clinic,Kiambu,Kiambu,Thika Town,Township
17950,Thika Road Health Services Ltd (Kasarani),Nairobi,Nairobi,Kasarani,Kasarani
17968,Thika Sasa Centre,Kiambu,Kiambu,Thika Town,Township
20073,Thim Jope Dispensary,Migori,Migori,Uriri,East Kanyamkago
16278,Thim Lich Dispensary,Migori,Migori,Nyatike,North Kadem
16228,Thimangiri Medical Clinic,Meru,Meru,Imenti North,Nyaki West
12796,Thinu Health Centre,Machakos,Machakos,Kathiani,Upper Kaewa/Iveti
20567,Thinyaine Dispensary,Meru,Meru,Tigania West,Akithii
12797,Thitani Health Centre,Kitui,Kitui,Mwingi West,Kyome/Thaana
12798,Thitha Dispensary,Kitui,Kitui,Mwingi Central,Kivou
20253,Thogoto Medical clinic,Kiambu,Kiambu,Kikuyu,Kikuyu
18029,Thome Clinic,Laikipia,Laikipia,Laikipia East,Tigithi
23140,Thome Dispensary,Laikipia,Laikipia,Laikipia West,Salama
23659,Thome Medical Clinic,Laikipia,Laikipia,Laikipia West,Salama
16859,Thonzweni Dispensary,Kitui,Kitui,Mwingi West,Kyome/Thaana
24435,Three Bells Medical Centre,Nairobi,Nairobi,Embakasi West,Umoja I
11098,Three In One Clinic,Kirinyaga,Kirinyaga,Kirinyaga Central,Kerugoya
11099,Thuita Clinic,Tharaka Nithi,Tharaka Nithi,Chuka,Magumoni
11100,Thumaita (ACK) Dispensary,Kirinyaga,Kirinyaga,Kirinyaga East,Karumandi
17066,Thumbereria Dispensary,Meru,Meru,Igembe Central,Njia
21796,Thung'ari Dispensary,Nyeri,Nyeri,Kieni East,Thegu River
22179,Thunguma Dispensary,Nyeri,Nyeri,Nyeri Central,Ruring'u
11101,Thunguma Medical Clinic,Nyeri,Nyeri,Nyeri Central,Ruring'u
22236,Thunguri Dispensary,Nyeri,Nyeri,Nyeri South,Iria-ini
11102,Thunguri Medical Clinic,Nyeri,Nyeri,Nyeri South,Karima
11849,Thureya Medical Clinic,Mombasa,Mombasa,Changamwe,Airport
11103,Thuthi Medical Clinic,Nyeri,Nyeri,Tetu,Dedan Kimathi
19795,Thuti Medical Clinic,Nyeri,Nyeri,Nyeri Central,Rware
18699,Thuura Health Care,Meru,Meru,Imenti North,Ntima East
19141,Thuuru Dispensary,Meru,Meru,Igembe Central,Njia
25437,Thwake Dam Dispensary,Kitui,Kitui,Kitui Rural,Kanyangi
20004,Tian Dispensary,Baringo,Baringo,Mogotio,Emining
23451,Tiba Bora Medical Centre,Kiambu,Kiambu,Thika Town,Kamenu
21104,Tiba Medical Center,Migori,Migori,Kuria West,Masaba
16151,Tigoi Health Centre,Vihiga,Vihiga,Hamisi,Jepkoyai
11104,Tigoni District Hospital,Kiambu,Kiambu,Limuru,Ngecha Tigoni
12800,Tii Dispensary,Kitui,Kitui,Mwingi North,Kyuso
16368,Tiinei Dispensary,West Pokot,West Pokot,Pokot North,Suam
20438,Tilangok Dispensary,Bomet,Bomet,Chepalungu,Chebunyo
20460,Tilingwo dispensary,Baringo,Baringo,East Pokot,Kolowa
20470,Tiloi Dispensary,Baringo,Baringo,Baringo North,Kabartonjo
