County,Sub County,Facility,Mfl Code,Emr Site,Keph Level,Partner
Kisumu,Nyando,Nyakongo health Centre,"13,884",Yes,Level 3,Kisumu CoAg
Kisumu,Kisumu East,Nyalunya Health Centre,"13,890",Yes,Level 3,CIHEB Entrench
Kisumu,Nyakach,Nyamarimba Sub County Hospital,"13,899",Yes,Level 4,CIHEB Entrench
Kisumu,Kadibo,Nyangande Sub County Hospital,"13,923",Yes,Level 4,Kisumu CoAg
Kisumu,Muhoroni,Nyang'oma Sub County Hospital,"13,928",Yes,Level 4,Kisumu CoAg
Kisumu,Nyakach,Oboch Dispensary,"13,955",Yes,Level 2,CIHEB Entrench
Kisumu,Muhoroni,Obumba Health Centre,"13,956",Yes,Level 3,Kisumu CoAg
Kisumu,Muhoroni,Ogen Dispensary,"13,965",Yes,Level 2,Kisumu CoAg
Kisumu,Nyando,Olasi Dispensary,"13,976",Yes,Level 2,Kisumu CoAg
Kisumu,Nyakach,Onyuongo Dispensary,"20,209",Yes,Level 2,CIHEB Entrench
Kisumu,Nyakach,Pedo Dispensary,"18,725",Yes,Level 2,CIHEB Entrench
Kisumu,Kadibo,Rabuor Sub County Hospital,"14,020",Yes,Level 4,Kisumu CoAg
Kisumu,Nyakach,Radienya Dispensary,"18,722",Yes,Level 2,CIHEB Entrench
Kisumu,Nyakach,Rae Dispensary,"14,024",Yes,Level 2,CIHEB Entrench
Kisumu,Kisumu Central,Railways Dispensary (Kisumu),"14,027",Yes,Level 3,CIHEB Entrench
Kisumu,Kisumu West,Rota Health Centre,"14,060",Yes,Level 3,CIHEB Entrench
Kisumu,Nyakach,Sango Rota Health Centre,"14,066",Yes,Level 3,CIHEB Entrench
Kisumu,Nyakach,Sigoti Health Centre,"14,086",Yes,Level 3,CIHEB Entrench
Kisumu,Nyakach,Sondu sub county Hospital,"14,096",Yes,Level 4,CIHEB Entrench
Kisumu,Muhoroni,Tamu Health Centre,"14,141",Yes,Level 3,Kisumu CoAg
Kisumu,Nyando,Wanganga Health Centre,"18,283",Yes,Level 3,Kisumu CoAg
Kisumu,Kisumu West,Maseno University Health center,"13,782",Yes,Level 3,HJF_Kisumu West
Kisumu,Seme,Bar Korwa MH,"13,498",Yes,Level 3,HJF_Kisumu West
Kisumu,Nyando,Nyakongo HC,"13,884",Yes,Level 3,Kisumu CoAg
Kisumu,Kadibo,Kochieng Health Centre - Kobura Ward,"21,671",New,Level 3,NULL
Kisumu,Kadibo,Lela Health Centre-Kobura Ward,"27,415",New,Level 3,NULL
Kisumu,Kadibo,Nyamware Health Centre - Kobura Ward,"27,104",New,Level 3,NULL
Kisumu,Kadibo,Okana Dispensary - Kobura Ward,"20,666",New,Level 2,NULL
Kisumu,Kadibo,Komwaga Health Center/Kabonyo Kanyagwal,"21,310",New,Level 3,NULL
Kisumu,Kadibo,Ugwe Health Centre - Kabonyo/Kanyagwal Ward,"29,904",New,Level 3,NULL
Kisumu,Kadibo,Absalom Wangulu Dispensary/Kabonyo Kanyagwal,"20,524",New,Level 2,NULL
Kisumu,Kadibo,Kadhiambo dispensary - Kabonyo/Kanyagwal Ward,"21,657",New,Level 2,NULL
Kisumu,Kadibo,Koduol Reru Dispensary - Kabonyo/Kanyagwal Ward,"20,531",New,Level 2,NULL
Kisumu,Kadibo,Kanyagwal Dispensary - Kabonyo/Kanyagwal Ward,"13,654",New,Level 2,NULL
Kisumu,Kisumu Central,Beyond Zero Mobile Medical Clinic (Kisumu) - Kondele Ward,"20,965",New,Level 2,NULL
Kisumu,Kisumu Central,Dunga GoK Dispensary - Nyalenda B Ward,"22,064",New,Level 2,NULL
Kisumu,Kisumu Central,Kanyakwar Dispensary - Railways Ward,"29,554",New,Level 2,NULL
